name,cuisines,rating,costForTwo,area,delivery_Time,veg,lat,lng,delivery_fee
Pizza Hut,['Pizzas'],4.3,₹350 for two,Janpath,,,,,
Domino's Pizza,"['Pizzas', 'Italian', 'Pastas', 'Desserts']",4.4,₹400 for two,Connaught Place,,,,,
KFC,"['Burgers', 'Rolls & Wraps', 'Fast Food']",4.5,₹400 for two,Connaught Place,,,,,
Subway,"['sandwich', 'Salads', 'wrap', 'Healthy Food']",4.3,₹350 for two,Connaught Place,,,,,
McDonald's,"['American', 'Fast Food']",4.5,₹400 for two,Kasturba Gandhi Marg,,,,,
Burger King,"['Burgers', 'American']",4.4,₹350 for two,Connaught Place,,,,,
Cheesecake & Co.,"['Bakery', 'Desserts']",4.7,₹300 for two,Asaf Ali Road,,True,,,
Theobroma,"['Bakery', 'Desserts']",4.6,₹400 for two,Connaught Place,,,,,
The Belgian Waffle Co.,"['Waffle', 'Desserts', 'Ice Cream']",4.6,₹200 for two,Connaught Place,,,,,
Wow! Momo,"['Momos', 'Chinese', 'fastfood', 'Asian', 'Beverages']",4.2,₹300 for two,Rajiv Chowk Metro Station,,,,,
Oven Story Pizza,"['Pizzas', 'Pastas', 'Italian', 'Desserts', 'Beverages']",4.2,₹400 for two,Gandhi Market,,,,,
Natural Ice Cream,"['Ice Cream', 'Desserts']",4.7,₹150 for two,Connaught Place,,,,,
Havemore Restaurant,['Indian'],4.4,₹1000 for two,Pandara Road,,,,,
Chicken Inn- Pandara Road Since 1960,"['Mughlai', 'Tandoor', 'North Indian']",4.7,₹800 for two,Pandara Road,,,,,
Salad Days,['Salads'],4.6,₹600 for two,Gole Market,,,,,
L'Opera,"['Bakery', 'Cafe', 'French', 'Desserts', 'Continental']",4.7,₹600 for two,Khan Market,,,,,
Taco Bell,"['Mexican', 'Fast Food', 'Snacks']",4.6,₹300 for two,Connaught Place,,,,,
Berco's -If You Love Chinese,"['Chinese', 'Thai', 'Asian']",4.5,₹600 for two,Connaught Place,,,,,
Ghar ka Khana by EatFit,"['North Indian', 'Home Food', 'Healthy Food', 'Indian', 'Punjabi', 'South Indian', 'Rajasthani', 'Maharashtrian', 'Snacks', 'Desserts']",4.0,₹250 for two,GOLE MARKET,,,,,
Burger Singh(Big Punjabi Burgers),"['Snacks', 'Fast Food', 'Indian', 'American', 'Beverages', 'Desserts', 'Mughlai', 'North Indian', 'Biryani']",4.4,₹300 for two,Connaught Place,,,,,
